OBJECTID_1,NAME,Build_Weig,Id_Folder,Name_Folde,Date,Year_Month,X,Y
7,Котельническая набережная высотка,5,74,Котельническая набережная высотка,2015-07-27,201507,37.643193,55.746988
51,Красные ворота высотка,3,75,Красные ворота высотка,2015-07-28,201507,37.649469,55.769724
260,Красный октябрь,2,76,Красный октябрь,2018-03-07,201803,37.60916,55.740648
479,,3,77,Кремль,2015-04-10,201504,37.614905,55.750909
46,Крымская эстакада,2,78,Крымская эстакада,2015-09-16,201509,37.594227,55.735434
47,Крымский мост,4,79,Крымский мост,2015-09-16,201509,37.598335,55.73419
8,Кудринская площадь высотка,3,80,Кудринская площадь высотка,2015-07-28,201507,37.580841,55.759131
48,Курский вокзал,2,81,Курский вокзал,2015-07-28,201507,37.660727,55.757327
266,ГБОУ Гимназия № 1409,2,83,"Ленинградский пр-т, вл. 39 Школа",2017-07-06,201707,37.544319,55.788294
267,"Лесная улица, 9",2,84,Лесная 9,2018-02-13,201802,37.588251,55.77892
102,Лефортовский мост,2,85,Лефортовский и Новолефортовский мосты,2015-10-13,201510,37.685395,55.762185
268,"улица Лихоборские Бугры, 12",1,86,Лихоборские бугры,2018-02-14,201802,37.547685,55.843707
50,Лужков мост,2,87,Лужков мост,2015-09-16,201509,37.6186,55.744323
269,"Малая Сухаревская площадь, 10",1,88,"Малая Сухаревская пл., д. 10",2018-02-05,201802,37.630705,55.772427
271,"Манежная площадь, 1",2,89,Манеж,2017-01-27,201701,37.612312,55.75347
79,Маросейка 11,1,90,Маросейка 11,2016-06-07,201606,37.635702,55.757878
77,Маросейка 12,1,91,Маросейка 12,2016-06-07,201606,37.637769,55.757779
480,"улица Маросейка, 15",1,92,Маросейка 13,2016-06-07,201606,37.636858,55.758136
75,Маросейка 2,1,93,Маросейка 2,2016-06-07,201606,37.632393,55.756772
104,МГУ ГЗ,5,94,МГУ ГЗ Физфак Химфак,2015-08-12,201508,37.530711,55.70291
272,Метро Славянский бульвар,1,95,Метро Славянский бульвар,2017-12-25,201712,37.472461,55.729463
52,МИД,4,96,МИД,2015-07-27,201507,37.584458,55.746089
286,,1,97,Микрорайон Царицыно (Липецкая ул.),2018-02-05,201802,37.66428,55.605669
302,"улица Милашенкова, 3к1",1,98,Милашенкова улица - новые дома,2018-03-30,201803,37.587066,55.822449
306,"Покровский бульвар, 10",1,99,Милютинский парк,2018-02-14,201802,37.647299,55.756205
307,"Моховая улица, 11с8",1,100,Мосгоризбирком,2018-03-07,201803,37.395112,55.626066
318,"1-й Красногвардейский проезд, 15",10,101,Москва Сити,2016-11-25,201611,37.539395,55.750485
309,"набережная Тараса Шевченко, 23А",4,102,мост Багратион,2015-10-13,201510,37.546158,55.746313
54,мост Богдана Хмельницкого,4,103,мост Богдана Хмельницкого,2015-10-13,201510,37.570896,55.741365
80,Мост Лужники,4,104,Мост Лужники,2015-10-14,201510,37.560829,55.711494
327,Геологический музей,1,105,Моховая_11,2018-04-01,201804,37.612635,55.755961
328,"улица Волхонка, 14с6",1,106,Музей личных коллекций,2018-04-18,201804,37.605084,55.746587
331,Музей Отечественной войны 1812 года,1,107,Музей_войны_1812,2018-04-01,201804,37.618521,55.756231
330,"3-й микрорайон, 21",1,108,МФЦ Московский,2018-03-02,201803,37.347577,55.597345
332,Станция МЦК Андроновка,1,109,МЦК Андроновка,2017-10-23,201710,37.737223,55.746457
333,Станция МЦК Владыкино,1,110,МЦК Владыкино,2017-10-23,201710,37.59074,55.847274
336,Шарикоподшипниковский путепровод,3,111,МЦК Дубровка,2017-10-24,201710,37.679928,55.713607
338,МЦК Лихоборы,1,112,МЦК Лихоборы,2017-10-23,201710,37.552455,55.84755
489,,1,113,МЦК Локомотив,2017-10-24,201710,37.748863,55.801733
340,МЦК Соколиная гора,1,114,МЦК Соколиная гора,2017-10-23,201710,37.746035,55.770516
126,Мэрия,1,115,Мэрия Тверская 13,2016-06-08,201606,37.608663,55.761172
341,"Мясницкая улица, 11",1,116,Мясницкая 11 (ВШЭ),2017-06-30,201706,37.632463,55.761565
342,Народный парк Кожухово,0,117,Народный парк Кожухово,2016-09-04,201609,37.663286,55.701057
343,Народный парк Причальный,0,118,Народный парк Причальный,2016-09-05,201609,37.522988,55.751509
270,"Большая Сухаревская площадь, 3с1",2,119,"НИИ им. Склифосовского (Б. Сухаревская пл.,3)",2018-04-05,201804,37.635176,55.773161
344,Андреевский мост,3,120,Новоандреевский мост,2018-07-03,201807,37.577632,55.714081
55,Новоарбатский мост,4,121,Новоарбатский мост,2015-10-12,201510,37.573362,55.752375
345,"Чечёрский проезд, 122к1",1,122,Новое Бутово,2018-02-06,201802,37.514579,55.525515
350,"Троицкая улица, 1",1,123,Новое Павлино,2018-02-07,201802,37.972932,55.727414
348,"Троицкая улица, 4",1,123,Новое Павлино,2018-02-07,201802,37.975538,55.727984
349,"Троицкая улица, 5",1,123,Новое Павлино,2018-02-07,201802,37.977045,55.727732
346,"Троицкая улица, 2",1,123,Новое Павлино,2018-02-07,201802,37.974144,55.727628
347,"Троицкая улица, 3",1,123,Новое Павлино,2018-02-07,201802,37.97412,55.728876
56,Новоспасский мост,4,124,Новоспасский мост,2015-09-16,201509,37.654467,55.728992
